event_id,roi_ustrip_min,roi_ustrip_max,roi_vstrip_min,roi_vstrip_max,roi_u_size,roi_v_size,roi_uv_size_sum,roi_2d_size,roi_max_width,ML_success,CURRENT_success
1087,2203.0,2353.0,1533.0,1746.0,151.0,214.0,365.0,32314.0,214.0,False,False
1088,1844.0,1994.0,1492.0,1704.0,151.0,213.0,364.0,32163.0,213.0,True,False
1090,2666.0,2816.0,1918.0,2131.0,151.0,214.0,365.0,32314.0,214.0,True,True
1095,358.0,703.0,640.0,1265.0,346.0,626.0,972.0,216596.0,626.0,True,False
1096,2898.0,3048.0,2417.0,2629.0,151.0,213.0,364.0,32163.0,213.0,True,False
1100,1296.0,1536.0,1214.0,1772.0,241.0,559.0,800.0,134719.0,559.0,True,True
1103,1242.0,1392.0,855.0,1067.0,151.0,213.0,364.0,32163.0,213.0,True,True
1105,1413.0,1563.0,941.0,1153.0,151.0,213.0,364.0,32163.0,213.0,True,False
1107,1455.0,1605.0,1089.0,1302.0,151.0,214.0,365.0,32314.0,214.0,True,False
1116,1786.0,1936.0,1283.0,1495.0,151.0,213.0,364.0,32163.0,213.0,True,True
1122,2481.0,2631.0,2168.0,2380.0,151.0,213.0,364.0,32163.0,213.0,True,False
1124,1782.0,1932.0,1601.0,1813.0,151.0,213.0,364.0,32163.0,213.0,False,True
1128,1138.0,1288.0,1352.0,1564.0,151.0,213.0,364.0,32163.0,213.0,True,True
1130,2675.0,2825.0,2338.0,2550.0,151.0,213.0,364.0,32163.0,213.0,True,True
1131,3573.0,3723.0,3071.0,3284.0,151.0,214.0,365.0,32314.0,214.0,False,False
1136,1594.0,1744.0,1642.0,1854.0,151.0,213.0,364.0,32163.0,213.0,False,False
1139,1776.0,1926.0,1387.0,1599.0,151.0,213.0,364.0,32163.0,213.0,False,False
1148,3377.0,3527.0,2728.0,2940.0,151.0,213.0,364.0,32163.0,213.0,False,True
1149,2299.0,2449.0,1920.0,2132.0,151.0,213.0,364.0,32163.0,213.0,True,False
1150,2727.0,2877.0,2070.0,2282.0,151.0,213.0,364.0,32163.0,213.0,True,False
1154,2278.0,2428.0,2058.0,2270.0,151.0,213.0,364.0,32163.0,213.0,True,True
1158,1349.0,1499.0,1483.0,1695.0,151.0,213.0,364.0,32163.0,213.0,True,True
1159,390.0,765.0,153.0,860.0,376.0,708.0,1084.0,266208.0,708.0,True,False
1162,1371.0,1521.0,1195.0,1407.0,151.0,213.0,364.0,32163.0,213.0,True,False
1171,1942.0,2092.0,1762.0,1974.0,151.0,213.0,364.0,32163.0,213.0,True,True
1172,3223.0,3373.0,2592.0,2804.0,151.0,213.0,364.0,32163.0,213.0,False,False
1173,3025.0,3175.0,2631.0,2843.0,151.0,213.0,364.0,32163.0,213.0,True,False
1175,1079.0,1229.0,1331.0,1543.0,151.0,213.0,364.0,32163.0,213.0,False,False
1182,3563.0,3713.0,2982.0,3194.0,151.0,213.0,364.0,32163.0,213.0,True,True
1187,2801.0,2951.0,2078.0,2290.0,151.0,213.0,364.0,32163.0,213.0,True,True
1193,2057.0,2207.0,2030.0,2242.0,151.0,213.0,364.0,32163.0,213.0,True,False
1194,1395.0,1545.0,1199.0,1411.0,151.0,213.0,364.0,32163.0,213.0,True,True
1196,3140.0,3290.0,2485.0,2697.0,151.0,213.0,364.0,32163.0,213.0,True,False
1198,945.0,1095.0,1004.0,1216.0,151.0,213.0,364.0,32163.0,213.0,True,True
1205,1864.0,2014.0,1534.0,1747.0,151.0,214.0,365.0,32314.0,214.0,True,False
1208,3044.0,3194.0,2556.0,2768.0,151.0,213.0,364.0,32163.0,213.0,True,False
1214,3174.0,3324.0,2372.0,2584.0,151.0,213.0,364.0,32163.0,213.0,True,True
1220,3364.0,3514.0,2867.0,3079.0,151.0,213.0,364.0,32163.0,213.0,True,False
1221,3375.0,3525.0,2871.0,3083.0,151.0,213.0,364.0,32163.0,213.0,True,False
1224,669.0,819.0,969.0,1182.0,151.0,214.0,365.0,32314.0,214.0,False,False
1230,3048.0,3332.0,2771.0,3131.0,285.0,361.0,646.0,102885.0,361.0,True,True
1234,2831.0,2981.0,2422.0,2634.0,151.0,213.0,364.0,32163.0,213.0,True,True
1235,707.0,1042.0,373.0,1050.0,336.0,678.0,1014.0,227808.0,678.0,False,True
1238,1687.0,1837.0,1227.0,1439.0,151.0,213.0,364.0,32163.0,213.0,False,True
1239,2320.0,2470.0,1997.0,2209.0,151.0,213.0,364.0,32163.0,213.0,True,True
1246,877.0,1027.0,833.0,1045.0,151.0,213.0,364.0,32163.0,213.0,True,True
1248,2893.0,3043.0,2583.0,2795.0,151.0,213.0,364.0,32163.0,213.0,True,True
1249,691.0,841.0,631.0,843.0,151.0,213.0,364.0,32163.0,213.0,True,True
1252,3349.0,3499.0,2953.0,3165.0,151.0,213.0,364.0,32163.0,213.0,False,False
1254,1548.0,1698.0,1365.0,1577.0,151.0,213.0,364.0,32163.0,213.0,True,True
1256,1890.0,2040.0,1724.0,1936.0,151.0,213.0,364.0,32163.0,213.0,True,True
1259,1190.0,1340.0,1164.0,1376.0,151.0,213.0,364.0,32163.0,213.0,False,False
1261,2916.0,3066.0,2385.0,2597.0,151.0,213.0,364.0,32163.0,213.0,True,True
1265,2044.0,2194.0,1377.0,1589.0,151.0,213.0,364.0,32163.0,213.0,False,False
1268,2183.0,2333.0,2122.0,2334.0,151.0,213.0,364.0,32163.0,213.0,False,False
1270,2321.0,2510.0,2094.0,2539.0,190.0,446.0,636.0,84740.0,446.0,True,True
1271,2440.0,2590.0,1943.0,2155.0,151.0,213.0,364.0,32163.0,213.0,False,False
1278,1338.0,1488.0,928.0,1140.0,151.0,213.0,364.0,32163.0,213.0,False,True
1280,1668.0,1818.0,1305.0,1517.0,151.0,213.0,364.0,32163.0,213.0,True,True
1283,2576.0,2726.0,2351.0,2563.0,151.0,213.0,364.0,32163.0,213.0,True,True
1284,1439.0,1589.0,1340.0,1552.0,151.0,213.0,364.0,32163.0,213.0,False,False
1302,2329.0,2479.0,2003.0,2215.0,151.0,213.0,364.0,32163.0,213.0,True,True
1303,2903.0,3053.0,2271.0,2483.0,151.0,213.0,364.0,32163.0,213.0,True,False
1311,2838.0,2988.0,2204.0,2416.0,151.0,213.0,364.0,32163.0,213.0,True,True
1314,1571.0,1721.0,1583.0,1795.0,151.0,213.0,364.0,32163.0,213.0,True,False
1317,1975.0,2125.0,1862.0,2074.0,151.0,213.0,364.0,32163.0,213.0,False,False
1320,2012.0,2162.0,1596.0,1809.0,151.0,214.0,365.0,32314.0,214.0,True,True
1321,2352.0,2502.0,2010.0,2222.0,151.0,213.0,364.0,32163.0,213.0,False,False
1322,811.0,1132.0,444.0,1111.0,322.0,668.0,990.0,215096.0,668.0,True,False
