event_id nfired_ustrips_inroi nfired_vstrips_inroi roi_ustrip_min roi_ustrip_max roi_vstrip_min roi_vstrip_max roi_u_width roi_v_width
199 49 90 1740.00000000 1890.00000000 1557.00000000 1769.00000000 150.00000000 212.00000000
200 14 52 3284.00000000 3434.00000000 2855.00000000 3067.00000000 150.00000000 212.00000000
201 32 85 1885.00000000 2035.00000000 1818.00000000 2030.00000000 150.00000000 212.00000000
202 61 63 2967.00000000 3117.00000000 2430.00000000 2642.00000000 150.00000000 212.00000000
203 34 63 2110.00000000 2260.00000000 1738.00000000 1951.00000000 150.00000000 213.00000000
204 52 90 1996.00000000 2146.00000000 1833.00000000 2045.00000000 150.00000000 212.00000000
205 66 60 847.00000000 997.00000000 947.00000000 1159.00000000 150.00000000 212.00000000
206 26 64 2240.00000000 2390.00000000 1730.00000000 1942.00000000 150.00000000 212.00000000
207 24 45 3318.00000000 3468.00000000 2634.00000000 2846.00000000 150.00000000 212.00000000
208 38 65 3220.00000000 3370.00000000 2710.00000000 2922.00000000 150.00000000 212.00000000
209 125 104 3544.00000000 3906.00000000 2856.00000000 3193.00000000 362.00000000 337.00000000
210 38 55 3094.00000000 3244.00000000 2462.00000000 2674.00000000 150.00000000 212.00000000
211 165 187 856.00000000 1141.00000000 1045.00000000 1620.00000000 285.00000000 575.00000000
212 92 180 1067.00000000 1345.00000000 807.00000000 1422.00000000 278.00000000 615.00000000
213 35 26 3443.00000000 3593.00000000 3035.00000000 3247.00000000 150.00000000 212.00000000
214 21 44 2321.00000000 2471.00000000 1885.00000000 2097.00000000 150.00000000 212.00000000
215 109 61 983.00000000 1133.00000000 1104.00000000 1317.00000000 150.00000000 213.00000000
216 64 44 3505.00000000 3655.00000000 2617.00000000 2829.00000000 150.00000000 212.00000000
217 36 65 2154.00000000 2304.00000000 1702.00000000 1914.00000000 150.00000000 212.00000000
218 58 57 801.00000000 951.00000000 878.00000000 1090.00000000 150.00000000 212.00000000
219 62 54 3554.00000000 3913.00000000 2946.00000000 3275.00000000 359.00000000 329.00000000
220 65 93 2064.00000000 2214.00000000 1879.00000000 2091.00000000 150.00000000 212.00000000
221 68 61 2990.00000000 3140.00000000 2123.00000000 2335.00000000 150.00000000 212.00000000
222 34 41 1539.00000000 1689.00000000 1239.00000000 1451.00000000 150.00000000 212.00000000
223 44 129 2437.00000000 2587.00000000 2040.00000000 2252.00000000 150.00000000 212.00000000
224 103 276 614.00000000 929.00000000 826.00000000 1428.00000000 315.00000000 602.00000000
225 54 106 1980.00000000 2130.00000000 1883.00000000 2095.00000000 150.00000000 212.00000000
226 44 50 2124.00000000 2274.00000000 1510.00000000 1722.00000000 150.00000000 212.00000000
227 35 74 3251.00000000 3401.00000000 2679.00000000 2891.00000000 150.00000000 212.00000000
228 73 62 3506.00000000 3859.00000000 2905.00000000 3239.00000000 353.00000000 334.00000000
229 36 72 3478.00000000 3628.00000000 2794.00000000 3006.00000000 150.00000000 212.00000000
230 73 70 2877.00000000 3027.00000000 2138.00000000 2350.00000000 150.00000000 212.00000000
231 34 84 1349.00000000 1499.00000000 1107.00000000 1319.00000000 150.00000000 212.00000000
232 46 79 2574.00000000 2724.00000000 2326.00000000 2538.00000000 150.00000000 212.00000000
233 131 192 822.00000000 1129.00000000 680.00000000 1311.00000000 307.00000000 631.00000000
234 29 88 2587.00000000 2737.00000000 2264.00000000 2477.00000000 150.00000000 213.00000000
235 73 93 617.00000000 767.00000000 1054.00000000 1267.00000000 150.00000000 213.00000000
236 74 132 1133.00000000 1395.00000000 1046.00000000 1627.00000000 262.00000000 581.00000000
237 34 72 2831.00000000 2981.00000000 2498.00000000 2711.00000000 150.00000000 213.00000000
238 47 46 1426.00000000 1576.00000000 1486.00000000 1698.00000000 150.00000000 212.00000000
239 21 59 2158.00000000 2308.00000000 2180.00000000 2392.00000000 150.00000000 212.00000000
240 58 75 1304.00000000 1454.00000000 1464.00000000 1676.00000000 150.00000000 212.00000000
241 26 92 1156.00000000 1306.00000000 1205.00000000 1417.00000000 150.00000000 212.00000000
242 57 84 3223.00000000 3373.00000000 2513.00000000 2725.00000000 150.00000000 212.00000000
243 49 52 1633.00000000 1783.00000000 1476.00000000 1688.00000000 150.00000000 212.00000000
244 156 233 827.00000000 1113.00000000 1055.00000000 1627.00000000 286.00000000 572.00000000
245 54 68 2236.00000000 2386.00000000 1615.00000000 1827.00000000 150.00000000 212.00000000
246 39 120 2122.00000000 2272.00000000 2005.00000000 2217.00000000 150.00000000 212.00000000
247 40 107 2474.00000000 2624.00000000 1861.00000000 2073.00000000 150.00000000 212.00000000
248 57 26 650.00000000 800.00000000 563.00000000 775.00000000 150.00000000 212.00000000
249 27 76 1959.00000000 2109.00000000 1523.00000000 1736.00000000 150.00000000 213.00000000
250 51 73 2033.00000000 2183.00000000 1960.00000000 2172.00000000 150.00000000 212.00000000
251 37 82 2689.00000000 2839.00000000 2271.00000000 2484.00000000 150.00000000 213.00000000
252 46 108 602.00000000 752.00000000 825.00000000 1037.00000000 150.00000000 212.00000000
253 67 249 453.00000000 785.00000000 727.00000000 1340.00000000 332.00000000 613.00000000
254 60 84 2407.00000000 2557.00000000 2251.00000000 2463.00000000 150.00000000 212.00000000
255 50 95 3545.00000000 3695.00000000 2874.00000000 3086.00000000 150.00000000 212.00000000
256 53 73 2860.00000000 3010.00000000 2285.00000000 2497.00000000 150.00000000 212.00000000
257 58 77 2527.00000000 2677.00000000 2234.00000000 2446.00000000 150.00000000 212.00000000
258 26 49 661.00000000 811.00000000 407.00000000 620.00000000 150.00000000 213.00000000
259 47 106 1923.00000000 2073.00000000 1821.00000000 2033.00000000 150.00000000 212.00000000
